Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
pda_item_name,"PDA","PDA","PDA","PDA","КПК","PDA","PDA","PDA","PDA","PDA","PDA","PDA","PDA","PDA"
pda_item_desc,"A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","Malé elektronické zařízení vojenského stylu pro bezpečnou výměnu informací prostřednictvím šifrovaného rádiového kanálu.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","Небольшое электронное устройство военного образца для защищенного обмена информацией по зашифрованому радио каналу по принцыпу меш-сети.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle."
pda_loading,"Loading...","Loading...","Načítání...","Loading...","Загрузка...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading..."
pda_user_id,"Your ID:","Your ID:","Vaše ID:","Your ID:","Ваш ID:","Your ID:","Your ID:","Your ID:","Your ID:","Your ID:","Your ID:","Your ID:","Your ID:","Your ID:"
pda_mute,"Mute","Mute","Ztišit","Mute","Выкл. звук","Mute","Mute","Mute","Mute","Mute","Mute","Mute","Mute","Mute"
pda_unmute,"Unmute","Unmute","Zapnout zvuk","Unmute","Вкл. звук","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute"
pda_contact_list,"Contact list:","Contact list:","Seznam kontaktù:","Contact list:","Список контактов:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:"
pda_hint1,"Player ID or name","Player ID or name","ID nebo jméno hráče","Player ID or name","Имя или ID контакта","Player ID or name","Player ID or name","Player ID or name","Player ID or name","Player ID or name","Player ID or name","Player ID or name","Player ID or name","Player ID or name"
pda_add_contact,"Add new contact","Add new contact","Přidat nový kontakt","Add new contact","Добавить новый контакт","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact"
pda_remove_contact,"Remove selected contact","Remove selected contact","Odebrat vybraný kontakt","Remove selected contact","Удалить выбранный контакт","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact","Remove selected contact"
pda_send,"Send","Send","Odeslat","Send","Отправить","Send","Send","Send","Send","Send","Send","Send","Send","Send"
pda_hint2,"Write a message to the contact...","Write a message to the contact...","Napiš zprávu...","Write a message to the contact...","Напишите сообщение","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact...","Write a message to the contact..."
pda_sender,"Sender","Sender","Odesílatel","Sender","Отправитель","Sender","Sender","Sender","Sender","Sender","Sender","Sender","Sender","Sender"
pda_message,"Message","Message","Zpráva","Message","Сообщение","Message","Message","Message","Message","Message","Message","Message","Message","Message"
pda_hideId,"Hide ID","Hide ID","Schovat ID","Hide ID","Убрать ID","Hide ID","Hide ID","Hide ID","Hide ID","Hide ID","Hide ID","Hide ID","Hide ID","Hide ID"
pda_unhideId,"Show ID","Show ID","Zobrazit ID","Show ID","Показ. ID","Show ID","Show ID","Show ID","Show ID","Show ID","Show ID","Show ID","Show ID","Show ID"
pda_global_chat,"Global channel","Global channel","Globální kanál","Global channel","Общий канал","Global channel","Global channel","Global channel","Global channel","Global channel","Global channel","Global channel","Global channel","Global channel"
pda_rename_contact,"Rename contact","Rename contact","Přejmenovat kontakt","Rename contact","Переименовать контакт","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact"
pda_ban_contact,"Ban contact","Ban contact","Zablokovat kontakt","Ban contact","Заблокировать контакт","Ban contact","Ban contact","Ban contact","Ban contact","Ban contact","Ban contact","Ban contact","Ban contact","Ban contact"
